CODIGO ASEO;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;ANT/DES/ESQ. ;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;LATITUD;LONGITUD;NOMBRE;;;;;;;;;;;;;;;;;;;
020011AS;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO DE PRIMAVERA;449098.13;4479376.13;28/09/2016;40.4634982;-3.6003994;PARQUE DE LAS NACIONES,S/N;;;;;;;;;;;;;;;;;;;
020012ASW;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PASEO CENTRAL;448551.72;4479241.61;24/10/2016;40.4622527;-3.6068332;PARQUE DE LAS NACIONES,S/N;;;;;;;;;;;;;;;;;;;
020129AS;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;OESTE AUDITORIO;448397.74;4478599.44;24/10/2016;40.4564581;-3.6085971;PARQUE DE LAS NACIONES,S/N;;;;;;;;;;;;;;;;;;;
020128AS;21;BARAJAS;CALLE;PLAYA DE RIAZOR;45;;450519.90;4480713.84;09/03/2018;40.475635;-3.5837345;CALLE PLAYA DE RIAZOR,45;;;;;;;;;;;;;;;;;;;
020024AS;21;BARAJAS;PASEO;ALAMEDA DE OSUNA;48;;449158.47;4478372.84;10/03/2018;40.4544636;-3.5996074;PASEO ALAMEDA DE OSUNA,48;;;;;;;;;;;;;;;;;;;
020038AS;4;SALAMANCA;AVENIDA;BRASILIA;S/N;FRENTE NÚMERO 13;443950.91;4476665.06;29/10/2019;40.4387360;-3.6608570;AVENIDA DE BRASILIA, 13;;;;;;;;;;;;;;;;;;;
020082AS;9;MONCLOA-ARAVACA     ;CALLE;GOLONDRINA;1E;;433437.88;4477886.79;04/03/2020;40.448975;-3.784945;CALLE GOLONDRINA 1E;;;;;;;;;;;;;;;;;;;
020091AS;15;CIUDAD LINEAL;CALLE ;ASCAO;31;;445704.90;4475715.43;15/07/2020;40.430306;-3.640108;CALLE ASCAO FNº31;;;;;;;;;;;;;;;;;;;
020041AS;13;PUENTE DE VALLECAS;CALLE;BENJAMIN PALENCIA;2;;440268.44;4474000.04;07/12/2022;40.414480;-3.7040353;CALLE BENJAMIN PALENCIA, 2;;;;;;;;;;;;;;;;;;;
020032ASW;18;VILLA DE VALLECAS   ;GLORIETA;GRANJUELA;S/N;;446966.45;4469399.28;27/12/2023;40.372793;-3.624675;GLORIETA DE LA GRANJUELA;;;;;;;;;;;;;;;;;;;
020046ASW;11;CARABANCHEL;CALLE;CONDE DE MORPHY;S/N;;436756.22;4470194.24;08/05/2024;40.379242;-3.745010;CALLE CONDE DE MORPHY, S/N;;;;;;;;;;;;;;;;;;;
020031ASW;21;BARAJAS;PARQUE;DE LAS NACIONES;S/N;PARADA TREN;448315.75;4479188.41;04/07/2024;40.461062;-3.609578;PARQUE DE LAS NACIONES,S/N;;;;;;;;;;;;;;;;;;;
